순위,제목,가수
150,화분,김세정
151,FRIENDS,Marshmello & Anne-Marie
152,Speechless (Full),Naomi Scott
153,오늘 밤에,홍진영
154,Inner Child,방탄소년단
155,영웅 (英雄; Kick It),NCT 127
156,헤어지자 (Prod. by 정키 (Jung Key)),휘인 (Whee In)
157,내 생에 아름다운,케이윌 (K.Will)
158,당신과는 천천히,장범준
159,Loveship,폴킴 & 청하
160,차가워진 이 바람엔 우리가 써있어 (Bad Love),HYNN (박혜원)
161,Chandelier,Sia
162,선물,멜로망스 (MeloMance)
163,Like a Fool,니브 (NIve) & 샘김 (Sam Kim)
164,헤어져줘서 고마워,벤
165,벌써 12시,청하
166,이별의 버스 정류장,유산슬 & 송가인
167,unlucky,아이유 (IU)
168,니가 왜 거기서 나와 (Narr. 고은아),영탁
169,지나오다,닐로 (Nilo)
170,Something Just Like This,The Chainsmokers & Coldplay
171,봄 사랑 벚꽃 말고,HIGH4 & 아이유
172,욱 (UGH!),방탄소년단
173,Flower,윤미래
174,잘 살고 있다,V.O.S
175,Louder than bombs,방탄소년단
176,어떤 말도,Crush
177,ICY,ITZY (있지)
178,12 : 45 (Stripped),etham
179,LION,(여자)아이들
180,하루종일,규현 (KYUHYUN)
181,Say,윤미래
182,THEY say,팔로알토 (Paloalto) & 윤병호 (Bully Da Ba$tard)
183,Goodbye,박효신
184,십이월 이십오일의 고백,정승환
185,그때의 우리,펀치 (Punch)
186,보라빛 엽서,임영웅
187,나의 사춘기에게,볼빨간사춘기
188,Love Yourself,Justin Bieber
189,Yummy,Justin Bieber
190,Interlude : Shadow,방탄소년단
191,내 목소리 들리니,벤
192,Closer (Feat. Halsey),The Chainsmokers
193,Outro : Ego,방탄소년단
194,Respect,방탄소년단
195,18세 순이,이찬원
196,EX,Kiana Lede
197,노을,다비치
198,Havana (Feat. Young Thug),Camila Cabello
199,F(ucked up) (Feat. 개코 & GRAY),코드 쿤스트 (CODE KUNST)
200,Set me Free (Feat. Loopy & Jvcki Wai),코드 쿤스트 (CODE KUNST)
